province,district,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,tc_loss_ha,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,asthma_cfr,bronchitis_cfr,total_population_1k,male_population_1k,female_population_1k
Central,Kandy,13.369872013560606,11.622534096681818,1.9424662660151515,176.72727272727272,44.12340909090909,0.742051136378788,8724.272727272728,4839.545454545455,0.43727272727272726,244.54999999999998,1462.5454545454545,697.4545454545455,765.0909090909091
Central,Matale,14.899688858492425,10.390746738363637,1.6256270518863638,505.90909090909093,72.63772727272728,0.7400744949545455,3144.7272727272725,1890.4545454545455,0.4636363636363637,466.5618181818182,517.2727272727273,249.54545454545453,267.72727272727275
Central,Nuwara Eliya,12.030132162212121,13.186843623757577,2.293527432037879,273.8181818181818,31.205378787878786,0.7319936868636364,3010.818181818182,1919.4545454545455,27.673636363636366,411.18636363636364,764.2727272727273,365.45454545454544,398.8181818181818
Eastern,Ampara,16.118140956674242,5.761404954568182,0.9367808397348485,352.0,305.2806060606061,0.6626969697045455,7824.090909090909,2019.090909090909,0.08818181818181818,1.4445454545454546,719.0909090909091,348.0,371.09090909090907
Eastern,Batticaloa,15.442592159810607,4.508943111931818,0.9906894505378787,162.9090909090909,103.62431818181818,0.579355429280303,4056.3636363636365,708.0909090909091,4.608181818181818,2.0236363636363635,568.2727272727273,270.6363636363636,297.6363636363636
Eastern,Trincomalee,17.361697085545455,3.5777224172196966,0.8172405565,369.6363636363636,107.9176515151515,0.6432039141515151,2999.4545454545455,836.6363636363636,0.2581818181818182,1.6663636363636365,422.72727272727275,208.8181818181818,213.9090909090909
North Central,Anuradhapura,17.678894078325754,4.337477307848485,1.089863034507576,1357.909090909091,602.0993939393938,0.6901452020227273,6336.181818181818,1629.1818181818182,0.2972727272727273,339.6454545454545,929.8181818181819,453.90909090909093,475.90909090909093
North Central,Polonnaruwa,16.05414906760606,6.717117017333334,1.1633496967575756,335.72727272727275,164.68424242424243,0.6860486111212122,3135.2727272727275,884.6363636363636,0.25545454545454543,3.896363636363637,436.54545454545456,216.0,220.54545454545453
North Western,Kurunegala,17.10390006896212,9.43122930535606,1.677693637409091,1424.4545454545455,178.62098484848485,0.705305555530303,13081.454545454546,1216.2727272727273,87.65272727272728,1239.8081818181818,1706.090909090909,819.4545454545455,886.6363636363636
North Western,Puttalam,18.762840836242425,4.652101594757576,1.3518840707348485,515.7272727272727,133.55439393939395,0.6611534090909091,3795.5454545454545,349.27272727272725,0.5945454545454546,5.473636363636364,822.5454545454545,398.09090909090907,424.45454545454544
Northern,Jaffna,20.918253045984848,1.2818914318484849,1.1029532655681817,26.181818181818183,11.900833333333335,0.4513787878863636,7026.545454545455,784.9090909090909,10.335454545454546,9.08909090909091,614.2727272727273,288.45454545454544,325.8181818181818
Northern,Kilinochchi,20.576917654681818,1.5201877174318181,1.0292442523333334,113.18181818181819,68.68234848484849,0.530224747469697,1178.7272727272727,369.6363636363636,0.06909090909090909,0.9809090909090908,127.81818181818181,62.72727272727273,65.0909090909091
Northern,Mannar,20.322935071568182,2.1829787324090906,1.114761679780303,282.3636363636364,59.31075757575758,0.6362632575681818,603.3636363636364,154.1818181818182,0.13727272727272727,0.9790909090909091,110.0,55.27272727272727,54.72727272727273
Northern,Mullaitivu,19.52604565006818,1.8326739572272728,0.9609867304469697,701.2727272727273,97.98530303030303,0.6798068181893939,1106.8181818181818,169.54545454545453,0.1190909090909091,2.6845454545454546,97.54545454545455,48.72727272727273,48.81818181818182
Northern,Vavuniya,18.775578496227272,2.1187370147272726,0.9684617986439393,1040.1818181818182,121.27992424242424,0.7053276515151515,997.4545454545455,332.45454545454544,0.08727272727272727,2.8572727272727274,188.9090909090909,92.9090909090909,96.0
Sabaragamuwa,Kegalle,14.28759835246212,13.333627187575757,2.9206436276666667,765.5454545454545,5.539090909090909,0.7692354798030303,4868.818181818182,1610.5454545454545,0.7390909090909091,357.4290909090909,882.2727272727273,420.45454545454544,461.8181818181818
Sabaragamuwa,Ratnapura,14.19085569040909,13.768479926545455,2.3637308458333335,611.0,44.55742424242424,0.7687708333333333,10128.727272727272,1291.090909090909,0.32181818181818184,2.940909090909091,1162.909090909091,573.2727272727273,589.6363636363636
Southern,Galle,16.32024116844697,6.128324516727273,2.1796486306515153,296.90909090909093,2.070227272727273,0.7258598485075758,8129.909090909091,1532.3636363636363,45.97909090909091,1438.8636363636363,1122.4545454545455,538.1818181818181,584.2727272727273
Southern,Hambantota,15.781380292249999,5.285982114666667,1.6681566777727272,226.9090909090909,252.42954545454543,0.6656098484924243,8285.545454545454,838.2727272727273,28.314545454545453,3.150909090909091,656.4545454545455,322.54545454545456,333.90909090909093
Southern,Matara,15.688301138386365,5.542991327674243,1.9106967247424242,212.0909090909091,3.5815909090909095,0.7520845959696969,5086.545454545455,783.8181818181819,45.77818181818182,2.668181818181818,858.5454545454545,411.09090909090907,447.45454545454544
Uva,Badulla,12.555430556128789,11.903834594295455,1.355686038901515,378.1818181818182,215.0725,0.7277114898863636,5588.090909090909,2532.818181818182,52.79363636363637,3.499090909090909,875.5454545454545,420.90909090909093,454.6363636363636
Uva,Monaragala,13.63025572293182,8.516914470257575,1.3675585614621213,566.2727272727273,362.47340909090906,0.7250441919242424,5417.545454545455,1090.4545454545455,0.19090909090909092,4.242727272727272,494.0,245.54545454545453,248.45454545454547
Western,Colombo,17.179270274636366,15.14727491125,4.3214520929999996,210.1818181818182,0.7817424242424242,0.5836938131287879,11119.545454545454,3371.4545454545455,0.5827272727272728,3.7972727272727274,2429.090909090909,1191.909090909091,1237.1818181818182
Western,Gampaha,17.267432124833334,12.484477891810606,4.013651522613636,246.54545454545453,10.991439393939393,0.6680561868484849,14891.181818181818,1654.909090909091,0.17727272727272725,1053.3500000000001,2401.3636363636365,1163.5454545454545,1237.8181818181818
Western,Kalutara,16.885837559068182,15.767985143969698,2.9819993752575757,682.0,6.380984848484848,0.7122853535227273,7009.090909090909,1556.0,16.11090909090909,247.45818181818183,1274.3636363636363,616.6363636363636,657.7272727272727
